SwimSets	泳ぐ設定
SwimEnable	水泳システムを有効にする
SwimMute	効果音をミュート
SwimSpeed	泳ぐ速度
CreditsBtn	ワールド作者へ
AdvSetsBtn	詳細設定
CreditsText	  SwimSystem（VRChat水泳システム）\nhirabikiのBOOTHにて公開中
AdvSwimSets	詳細の泳ぐ設定
PhysSets	物理設定
StickMovSpd	移動スティックでの速度
HandsSpeed	【VR】腕での泳ぐ速度
LegsSpeed	【ﾌﾙﾄﾗ】足での泳ぐ速度
SimpleCtrls	トリガーを引いたまま泳げるようにする
UseHandsDir	手の向きで移動
UseLegsSwim	足で泳げるようにする（フルトラのみ）
RealLegsSwim	もっと正確な足の水泳
WaterDrag	水の抵抗
UWGravity	水中での重力
SurfBouyancy	水面での浮力
UWRealSets	水中でのリアル設定
UWBreathEnable	呼吸システムを有効にする
BHTimeLimit	限界まで最大時間（秒）
BHRecovRate	回復の速度
